Month,sayisal loto,iddaa,at yarisi,tiyatro,sinema,konser,linkedin,iskur,is ilani
2014-01,82,72,41,60,63,10,54,37,40
2014-02,89,100,44,61,84,13,55,38,44
2014-03,79,94,42,61,59,13,54,35,37
2014-04,76,94,41,62,50,14,55,36,39
2014-05,76,68,36,50,36,16,55,35,37
2014-06,74,42,40,27,37,12,54,33,43
2014-07,69,38,41,19,35,12,60,34,46
2014-08,100,54,40,21,36,14,59,35,59
2014-09,90,72,39,29,35,17,65,43,54
2014-10,72,89,39,46,54,13,62,38,46
2014-11,91,98,40,66,66,12,63,44,51
2014-12,79,98,39,64,65,11,61,41,42
2015-01,75,76,42,56,80,9,59,40,49
2015-02,77,89,45,57,72,12,62,40,51
2015-03,76,92,45,69,57,11,61,37,46
2015-04,63,77,41,60,56,13,59,34,41
2015-05,69,75,40,48,40,22,57,30,46
2015-06,66,32,39,24,35,12,58,32,50
2015-07,66,32,42,19,34,12,63,34,55
2015-08,70,59,39,23,35,13,66,36,55
2015-09,67,79,38,24,46,13,61,33,56
2015-10,64,85,39,52,53,12,67,38,53
2015-11,74,82,35,65,51,12,63,36,53
2015-12,62,81,38,66,74,11,64,34,48
2016-01,62,78,62,60,76,11,52,29,52
2016-02,62,91,64,61,69,11,59,32,61
2016-03,58,81,62,67,47,11,59,33,51
2016-04,59,84,60,62,40,11,53,31,45
2016-05,59,65,57,56,41,15,54,31,52
2016-06,49,39,53,27,34,12,54,29,59
2016-07,53,38,60,23,36,11,46,31,60
2016-08,54,54,54,22,39,14,52,36,68
2016-09,59,74,57,29,42,17,51,36,66
2016-10,62,80,60,63,51,17,53,37,66
2016-11,54,77,55,75,66,14,53,33,65
2016-12,44,81,57,64,64,11,47,34,54
2017-01,54,67,59,60,76,10,49,39,61
2017-02,48,78,65,74,85,14,50,45,64
2017-03,44,79,71,93,62,13,50,47,59
2017-04,53,78,67,73,62,13,45,33,51
2017-05,45,61,69,55,42,20,46,35,54
2017-06,44,34,70,25,43,12,50,30,64
2017-07,50,31,65,25,45,19,52,35,70
2017-08,39,54,63,25,43,23,52,31,55
2017-09,45,66,61,34,44,26,50,34,65
2017-10,48,67,62,73,61,27,53,36,59
2017-11,43,69,64,72,90,18,50,31,56
2017-12,50,67,70,73,84,17,47,29,44
2018-01,53,53,74,74,100,14,47,32,59
2018-02,47,70,69,74,71,16,50,30,55
2018-03,50,67,82,100,58,18,57,31,52
2018-04,47,66,77,80,53,22,53,33,48
2018-05,40,47,68,53,43,23,49,33,46
2018-06,43,31,72,25,43,18,46,33,59
2018-07,61,30,73,28,39,32,53,41,60
2018-08,73,48,70,28,43,33,45,38,57
2018-09,66,55,76,39,42,38,53,84,70
2018-10,75,60,74,76,63,30,55,59,77
2018-11,64,60,74,78,88,20,50,48,67
2018-12,71,58,81,83,73,21,50,57,71
2019-01,74,51,95,87,84,20,52,76,84
2019-02,76,65,97,87,63,24,57,82,84
2019-03,79,53,100,98,46,28,53,58,68
2019-04,69,50,90,86,46,27,50,52,62
2019-05,69,39,81,65,34,25,54,46,76
2019-06,73,24,93,34,40,34,55,64,79
2019-07,71,23,88,41,39,41,62,59,81
2019-08,89,43,90,42,44,53,58,45,74
2019-09,71,35,82,59,38,47,63,68,100
2019-10,85,32,77,86,88,39,64,54,83
2019-11,86,35,82,95,84,29,64,49,72
2019-12,71,35,83,84,65,28,62,46,73
2020-01,76,26,91,92,89,22,64,45,75
2020-02,69,32,90,80,67,26,65,43,68
2020-03,55,19,62,50,27,12,55,100,47
2020-04,41,5,12,34,14,7,50,80,29
2020-05,41,7,13,25,10,6,52,52,42
2020-06,49,18,46,24,8,7,59,59,61
