Tarih,issizlik,eglence ve kultur,maddi beklenti
2014-01,10.50,234.57,91.27543988
2014-02,10.50,233.76,88.78395903
2014-03,9.40,235.12,91.39233498
2014-04,8.80,238.56,94.88917046
2014-05,8.40,237.63,93.14925094
2014-06,9.00,238,90.92231425
2014-07,9.70,238.87,91.12061562
2014-08,10.10,240.26,91.72942668
2014-09,10.10,244.8,91.15435241
2014-10,10.90,248.4,90.15225967
2014-11,10.40,248.7,88.57666001
2014-12,10.80,246.07,88.8422864
2015-01,11.90,254.85,87.84148897
2015-02,11.70,256.02,86.74575018
2015-03,10.40,256.05,85.37435562
2015-04,9.60,258.09,86.16476023
2015-05,8.90,258.88,86.18378233
2015-06,9.60,262.08,87.91545335
2015-07,10.00,262.74,88.23850561
2015-08,10.00,268.75,86.16833043
2015-09,10.30,270.48,82.07968746
2015-10,10.50,271.95,86.57754517
2015-11,10.20,273.91,95.66263115
2015-12,10.90,272.49,93.1870415
2016-01,11.50,278.45,92.16780138
2016-02,11.00,278.55,89.31293074
2016-03,10.10,280.11,89.76912934
2016-04,9.10,285.6,89.97106029
2016-05,9.00,284.17,89.94075971
2016-06,10.10,280.86,91.20881292
2016-07,11.00,282.85,88.35545166
2016-08,11.00,285.9,94.19036216
2016-09,11.80,289.29,92.06592099
2016-10,11.90,289.07,94.09409363
2016-11,11.60,292.41,89.01402554
2016-12,12.80,295.45,85.40220661
2017-01,13.50,298.1,87.86493178
2017-02,12.90,299.37,85.94818642
2017-03,11.70,302.01,87.76594697
2017-04,10.50,302.91,90.73987929
2017-05,9.70,304.81,91.98471481
2017-06,10.40,294.8,89.96298709
2017-07,10.60,295.7,91.85819507
2017-08,10.60,298.4,91.86267028
2017-09,10.40,303.49,89.55795448
2017-10,10.50,304.85,86.999583
2017-11,10.00,304.97,84.56884715
2017-12,10.30,306.75,84.8381116
2018-01,11.00,314.59,91.06436534
2018-02,10.80,316.68,91.2826564
2018-03,9.80,317.8,90.62745749
2018-04,9.30,319.06,90.16771503
2018-05,9.40,319.09,89.03698169
2018-06,10.20,320.54,89.09554955
2018-07,10.70,323.03,92.00400005
2018-08,11.10,327.87,85.5424977
2018-09,11.40,332.64,76.66487104
2018-10,11.70,338.97,73.49945105
2018-11,12.00,343.19,77.50380592
2018-12,13.30,342.29,75.288125
2019-01,15.10,347.4,77.11111946
2019-02,15.00,348.46,75.22774584
2019-03,13.90,352.51,78.25544797
2019-04,12.90,351.66,82.23605038
2019-05,12.50,350.93,73.94633358
2019-06,13.40,353.17,78.28559379
2019-07,14.10,355.54,76.97168067
2019-08,14.20,360.42,77.81439333
2019-09,14.00,367.47,73.99778218
2019-10,13.30,371.91,74.80939372
2019-11,12.90,372.7,79.33553168
2019-12,13.60,373.93,77.68730878
2020-01,14.10,384.08,79.49914532
2020-02,13.50,387.22,76.80680803
2020-03,13.00,386.29,78.58403041
2020-04,12.80,386.41,72.48901342
2020-05,12.60,386.5,79.24337877
2020-06,13.00,387.82,79.87783244
2020-07,14.60,389.27,80.60388725
2020-08,13.00,394.44,77.76331446
2020-09,12.40,402.77,79.05659448
2020-10,12.80,404.71,79.50939276
2020-11,12.90,407.17,79.02185616
2020-12,13.00,407.63,78.85528176
2021-01,13.40,411.24,83.80906762
2021-02,14.10,415.21,84.51865093
2021-03,13.10,419.75,87.92015809
2021-04,12.90,417.23,81.00198246
2021-05,12.40,417.53,76.56615531
2021-06,10.40,440.55,82.8903445
2021-07,12.10,451.32,79.75998824
2021-08,12.00,456.5,78.62973075
2021-09,11.10,464.03,79.00398206
2021-10,10.70,469.74,75.56421934
2021-11,10.90,475.84,68.92552805
2021-12,11.30,484.52,65.2388231
2022-01,12.10,516.01,71.3217357
2022-02,11.40,535.89,68.30419622
2022-03,11.40,548.78,69.85476796
2022-04,10.60,565.11,63.91
2022-05,10.10,581.85,66.48
2022-06,9.70,591.57,59.87
2022-07,10.60,617.82,67.15
2022-08,9.80,647.46,72.19
2022-09,9.90,665.02,71.43
2022-10,9.90,683.92,76.21
2022-11,9.90,697.83,75.82
2022-12,10.40,717.33,75.35
2023-01,10.30,824.33,79.85
2023-02,10.70,841.3,84.19
2023-03,10.20,855.49,79.55
2023-04,10.00,878.95,89.76
2023-05,8.80,912.6,93.99
2023-06,9.00,935.64,85.77
2023-07,9.70,993.86,79.17
2023-08,9.20,1098.96,63.69
2023-09,8.90,1152.61,68.88
2023-10,8.20,1215.88,72.62
2023-11,8.80,1239.42,74.52
2023-12,8.90,1304.6,76.09
2024-01,9.80,1471.69,79.47607992
